pedido,requisicao,operadora,nome_origem,cpf_cnpj_raiz_origem,cpf_cnpj_origem,terminal_1_originador,codigo_pais_origem,codigo_ddd_origem,numero_origem,nome_destino,cpf_cnpj_raiz_destino,cpf_cnpj_destino,terminal_2_recebedor,codigo_pais_destino,codigo_ddd_destino,numero_destino,data_inicio,gmt_inicio,duracao_hhmmss,duracao_segundos
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-24 18:41:23,GMT-02,32,32
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-25 11:26:54,GMT-02,131,91
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-25 11:28:35,GMT-02,0,0
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-25 11:28:37,GMT-02,0,0
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-25 11:28:40,GMT-02,148,108
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-11-25 12:10:13,GMT-02,0,0
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-25 12:15:04,GMT-02,42,42
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-29 08:45:45,GMT-02,34,34
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-11-29 11:16:35,GMT-02,25,25
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-04 12:55:11,GMT-02,110,70
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-09 17:12:45,GMT-02,26,26
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-10 19:52:22,GMT-02,105,65
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-14 13:06:22,GMT-02,16,16
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-15 19:12:35,GMT-02,47,47
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-16 12:32:40,GMT-02,30,30
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-12-16 12:39:38,GMT-02,34,34
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2010-12-18 17:44:03,GMT-03,2,2
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2010-12-20 15:23:51,GMT-00,103,63
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2010-12-20 17:17:25,GMT-02,25,25
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-05 16:25:11,GMT-00,43,43
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-05 19:25:04,GMT-02,58,58
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-19 12:28:49,GMT-02,110,70
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-19 14:19:44,GMT-02,0,0
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-19 14:20:13,GMT-02,54,54
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-19 14:22:14,GMT-02,27,27
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-21 14:03:21,GMT-02,39,39
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-25 11:44:38,GMT-02,116,76
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-01-25 13:00:32,GMT-02,117,77
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-27 10:21:58,GMT-02,104,64
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-28 19:08:04,GMT-02,1006,606
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-29 11:31:15,GMT-02,37,37
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-29 11:39:29,GMT-02,111,71
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-01-29 14:40:47,GMT-02,113,73
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-01 17:24:16,GMT-02,21,21
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-03 20:54:10,GMT-02,1046,646
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-03 21:09:02,GMT-02,252,172
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-04 11:31:54,GMT-02,51,51
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-04 12:26:19,GMT-02,216,136
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-07 14:20:14,GMT-02,33,33
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-07 17:10:47,GMT-02,0,0
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-09 09:41:59,GMT-02,33,33
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-10 12:16:41,GMT-02,116,76
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-10 12:38:25,GMT-02,37,37
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-10 12:55:18,GMT-02,51,51
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-10 12:56:09,GMT-02,6,6
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-10 14:25:03,GMT-02,0,0
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-10 16:02:53,GMT-02,118,78
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2011-02-13 11:33:39,GMT-03,2,2
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2011-02-13 11:33:47,GMT-03,2,2
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-14 19:06:52,GMT-02,313,193
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-22 19:18:47,GMT-03,911,551
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-22 20:21:57,GMT-03,155,115
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-25 14:22:55,GMT-03,36,36
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-25 14:23:05,GMT-03,26,26
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-25 16:10:18,GMT-03,45,45
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX056,55,11,XXXXX056,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2011-02-25 22:05:32,GMT-03,2,2
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-26 11:37:00,GMT-03,30,30
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-26 11:53:06,GMT-03,28,28
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-26 12:06:43,GMT-03,133,93
2,1162,Telefônica - Vivo,MARIA CEBOLINHA FAVA BEAN,XXXXX74853YY,XXX.XX41.748-YY,55113XXXX256,55,11,XXXXX256,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX777,55,11,XXXXX777,2011-02-26 18:36:35,GMT-03,2,2
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-27 11:49:12,GMT-03,27,27
2,1163,Telefônica - Vivo,CASCAO CUCUMBER,XXXXX012815YY,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,2011-02-27 12:09:57,GMT-03,152,112
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-02-28 12:53:47,GMT-03,128,88
2,1163,Telefônica - Vivo,CEBOLINHA FAVA BEAN,XXXXX808853YY,XXX.XX98.088-YY,55119XXXX881,55,11,XXXXX881,CASCAO CUCUMBER,21922012815,XXX.XX20.128-YY,55119XXXX999,55,11,XXXXX999,2011-03-01 11:49:04,GMT-03,0,0
